raw_weight
(Wetting) Total Time
(Sealing) Left Temperature
(Sealing) Right Temperature
(Sealing) Time
(Sealing) Left Pressure
(Sealing) Right Pressure
(Wetting Step 1) Actual Vacuum Time
(Wetting Step 1) Actual Vacuum Pressure
(Wetting Step 1) Actual Exhaust Time
(Wetting Step 1) Actual Exhaust Pressure
(Wetting Step 2) Actual Vacuum Time
(Wetting Step 2) Actual Vacuum Pressure
(Wetting Step 2) Actual Exhaust Time
(Wetting Step 2) Actual Exhaust Pressure
(Wetting Step 3) Actual Vacuum Time
(Wetting Step 3) Actual Vacuum Pressure
(Wetting Step 3) Actual Exhaust Time
(Wetting Step 3) Actual Exhaust Pressure
(Sealing Step 1) Actual Vacuum
(Sealing Step 2) Actual Vacuum
(Sealing Step 3) Actual Vacuum
(Sealing Step 4) Actual Vacuum
(Sealing Step 5) Actual Vacuum
