,x,y,color
0,0.352501185,0.745201101,red
1,0.361221489,0.974311725,red
2,0.181334982,0.769456532,red
3,0.212142982,0.818677687,red
4,-0.625428051,0.702563029,red
5,-0.415492674,0.537198427,red
6,-0.668266821,0.72609893,red
7,-0.716062439,0.709697984,red
8,-0.768799818,0.755490041,red
9,-0.969948354,0.855479883,red
10,-0.692617958,0.434343649,red
11,-0.769626936,0.87488539,red
12,-0.665915258,0.659372548,red
13,-0.870463315,0.46495351,red
14,-0.804656935,0.645000048,red
15,-1.157574266,0.611323775,red
16,-1.087983853,0.523940676,red
17,-1.271487734,0.741938427,red
18,-0.967877137,0.639596981,red
19,-1.039507719,0.951967963,red
20,-1.024592874,0.528824989,red
21,-1.213107542,0.633606051,red
22,-1.258062013,0.587050934,red
23,-1.157710113,0.21891554,red
24,-1.125529944,0.492596498,red
25,1.145688838,0.41057925,green
26,1.655096162,0.607670178,green
27,1.326138067,0.451582364,green
28,0.851285657,0.427965414,green
29,0.824348067,0.486965692,green
30,0.84260847,0.32251859,green
31,0.746419902,0.375875647,green
32,0.558546386,0.267582216,green
33,0.393275067,0.534813764,green
34,0.582434443,0.121823925,green
35,0.473404612,0.451345388,green
36,2.093935409,0.092621415,green
37,1.864235585,0.282697172,green
38,1.672140821,0.078171808,green
39,1.660471571,0.147087154,green
40,1.248952843,0.286659553,green
41,1.18453579,0.31608901,green
42,0.953693477,0.551884768,green
43,0.896835254,0.429360252,green
44,0.867788613,0.559014573,green
45,0.917030374,0.291706715,green
46,-0.842969858,-0.39096069,green
47,-0.805426252,-0.551039944,green
48,-1.149947247,-0.464484388,green
49,-0.84617938,-0.377795215,green
50,-1.328007266,-0.189667409,green
51,-1.358639055,-0.200321278,green
52,-1.449983776,-0.409958469,green
53,-1.547354874,-0.389499401,green
54,-1.603786963,-0.418908108,green
55,-1.615987217,-0.21282213,green
56,-1.460166204,-0.48719357,green
57,-1.303052543,-0.178293843,green
58,-1.159879361,-0.137865728,green
59,-1.41163513,-0.222463599,green
60,0.365626829,-0.513348646,green
61,0.084836764,-0.265582564,green
62,-0.011670494,-0.326277565,green
63,-0.115025667,-0.305295298,green
64,-0.196647816,-0.556648647,green
65,0.289814895,-0.819404885,green
66,-0.056078855,-0.521538553,green
67,0.126712546,-0.774423217,green
68,0.068856085,-0.337323316,green
69,0.121305918,-0.573444816,green
70,-0.096494304,-0.613561263,green
71,-0.329323824,-0.513957758,green
72,-0.195832748,-0.51074148,green
73,0.880734434,-0.251109868,green
74,0.978959613,-0.257197748,green
75,0.190800791,-0.290486571,green
76,-0.211850258,-0.994265166,green
77,-0.001340347,-0.5141494,green
78,0.35224658,-0.693474769,green
79,0.388341298,-0.448594572,green
80,0.406749135,-0.676232789,green
81,1.367824852,-0.614748963,green
82,1.468078579,0.006922036,green
83,1.653350305,-0.047903484,green
84,1.540882658,-0.027994828,green
85,1.143938,-0.124808203,green
86,1.066701014,-0.083014959,green
87,1.190795828,-0.099265641,green
88,1.638435348,0.110659942,green
89,1.401737807,0.176266649,green
90,1.517053182,-0.312517063,green
91,-0.584893986,-0.203165366,green
92,-0.498690518,0.274640034,green
93,-0.658773152,0.324260671,green
94,-1.386714657,-0.240968539,green
95,-1.487224069,-0.25463003,green
96,-1.60023978,-0.292230798,green
97,0.032352372,-0.302025739,green
98,-0.317371653,-0.175453599,green
99,-0.164970044,-0.102971748,green
100,-0.286238179,-0.23328798,green
101,-0.484240947,-0.186329205,green
102,-0.490591895,-0.410060292,green
103,-0.065283338,-0.482825474,green
104,-0.493266465,-0.384178918,green
105,0.93086199,-0.473791865,green
106,1.063338709,-0.617181911,green
107,1.014432584,-0.536070997,green
108,0.518605341,-0.533799596,green
109,0.017019673,-0.47603307,green
110,0.420553158,-0.120151576,green
111,0.088934582,0.101574436,green
112,0.890959232,0.1552291,green
113,0.219201724,0.376387214,green
114,0.190596968,0.231844063,green
115,0.445291644,0.075685607,green
116,0.084307271,-0.986417279,green
117,-0.16674063,-0.446843259,green
118,-0.357966833,-0.473519025,green
119,-0.454863052,-0.507111639,green
120,0.016295562,-0.226799464,green
121,0.491881377,-0.182622519,green
122,0.05856796,-0.002593519,green
123,0.124995535,-0.056796325,green
124,-0.477747682,-0.079917275,green
125,-0.374236114,-0.243614109,green
